(INR Crores/10 Millions),,,EICHER MOTORS LTD,,,,,,,,Mar-26,<< Latest available quarterly results,,,,,,,,,,,,,
Narration,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Mar-22,Mar-23,Mar-24,Mar-25,Mar-26,Last 4 Quarters,Total 10 Yrs,Growth Trends:,10Yr,7Yr,5Yr,3Yr,TTM,,,,,,,
Sales," 7,033 "," 8,965 "," 9,797 "," 9,154 "," 8,720 "," 10,298 "," 14,442 "," 16,536 "," 18,870 "," 23,408 "," 23,408 ",,Sales Growth,14%,13%,22%,17%,0%,,,,,,,
Sales YoY%,,27%,9%,-7%,-5%,18%,40%,14%,14%,24%,0%,,OPM,25%,25%,24%,25%,25%,,,,,,,
Gross Profit,3288.03,4252.02,4317.26,4323.09,3194.6,4041.96,6097.89,7151.4,8236.75,9800.62," 5,785 ",,GP Growth,13%,12%,25%,17%,-41%,,,,,,,
Gross Margin%,46.75%,47.43%,44.07%,47.23%,36.63%,39.25%,42.22%,43.25%,43.65%,41.87%,24.71%,,Sundry Debtors,24%,23%,17%,-1%,,,,,,,,
 Gross Proft YoY % ,,29%,2%,0%,-26%,27%,51%,17%,15%,19%,-41%,,Operating IncomGrowth,11%,10%,27%,19%,0%,,,,,,,
Operating Profit,"2,174 ","2,809 ","2,904 ","2,183 ","1,783 ","2,178 ","3,446 ","4,329 ","4,723 ","5,785 ","5,785 "," 32,314 ",PAT Growth,14%,14%,33%,24%,0%,,,,,,,
Operating Profit Margin (OPM%),31%,31%,30%,24%,20%,21%,24%,26%,25%,25%,25%,,Avg. PE,34.2 ,32.7 ,35.7 ,31.4 ,37.9 ,,,,,,,
OPM YoY %,,29%,3%,-25%,-18%,22%,58%,26%,9%,22%,0%,,NFA,20%,13%,13%,22%,,,,,,,,
Other Income,416.44 ,535.66 ,700.66 ,572.42 ,482.34 ,495.65 ,908.14 ,"1,521.13 ","1,994.17 ","2,228.89 ","2,228.89 ",,Other Assets,33%,14%,20%,39%,,,,,,,,
OI YoY%,,29%,31%,-18%,-16%,3%,83%,67%,31%,12%,0%,,CFO,11%,17%,23%,42%,,,,,,,,
EBITDA,"2,591 ","3,344 ","3,605 ","2,755 ","2,266 ","2,673 ","4,354 ","5,851 ","6,717 ","8,014 ","8,014 "," 42,169 ",FCF,8%,#REF!,37%,68%,,,,,,,,
EBIDTA%,37%,37%,37%,30%,26%,26%,30%,35%,36%,34%,34%,,Assets Growth,20%,13%,13%,18%,,,,,,,,
EBITDA YoY%,,29%,8%,-24%,-18%,18%,63%,34%,15%,19%,0%,,EBIDTA,13%,12%,29%,23%,200%,,,,,,,
Interest,4 ,5 ,7 ,19 ,16 ,19 ,28 ,51 ,54 ,71.53 ,72 , 275 ,Debt,18%,16%,19%,21%,377%,,,,,,,
Depreciation,154 ,223 ,300 ,382 ,451 ,452 ,526 ,598 ,729 ,840 ,840 ," 4,655 ",Dividents,26%,31%,37%,31%,292%,,,,,,,
Profit before tax (PBT),"2,433 ","3,116 ","3,297 ","2,355 ","1,798 ","2,203 ","3,800 ","5,202 ","5,933 ","7,102.06 ","7,102.06 ",,Eps Trend,14%,14%,32%,24%,0%,,,,,,,
PBT %,35%,35%,34%,26%,21%,21%,26%,31%,31%,30%,30%,,Owner Earnings,-273%,19%,-284%,15%,,,,,,,,
PBT YoY%,,28%,6%,-29%,-24%,22%,73%,37%,14%,20%,0%,,CMP," 7,611 ",,,,,,,,,,,
