 COMPANY NAME , EICHER MOTORS LTD ,,,  ,,,,,,
 LATEST VERSION , 2.10 ,,, PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET ,,,,,,
 CURRENT VERSION , 2.10 ,,,,,,,,,
,,,,,,,,,,
 META ,,,,,,,,,,
 Number of shares , 27.43 ,,,,,,,,,
 Face Value ,1,,,,,,,,,
 Current Price ,7611,,,,,,,,,
 Market Capitalization ,208780.54,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
 PROFIT & LOSS ,,,,,,,,,,
Report Date,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Mar-22,Mar-23,Mar-24,Mar-25,Mar-26
 Sales ,7033.36,8964.96,9797.06,9153.58,8720.35,10297.83,14442.18,16535.78,18870.35,23407.56
 Raw Material Cost ,3725.72,4679.07,5269.64,4914.58,5319.85,6107.28,8281.04,9187.35,10470.09,13337.31
 Change in Inventory ,19.61,33.87,210.16,-84.09,205.9,148.59,63.25,197.03,163.51,269.63
 Power and Fuel ,46.02,52.41,66.96,62.86,52.98,55.78,72.97,80.61,89.53,
 Other Mfr. Exp ,173.09,210.76,263.49,256.58,250.85,332.41,397.21,394.36,453.77,
 Employee Cost ,426.28,573.68,702.44,795.78,843.23,821.02,1001.93,1235.69,1391.23,1637.57
 Selling and admin ,412.25,565.66,654.82,667.16,522.52,815.51,1164.58,1384.91,1669.63,
 Other Expenses ,95.3,108.62,145.63,189.64,153.59,136.85,141.98,120.52,237.04,2917.24
 Other Income ,416.44,535.66,700.66,572.42,482.34,495.65,908.14,1521.13,1994.17,2228.89
 Depreciation ,153.81,223.3,300.28,381.54,450.73,451.93,526.21,597.6,729.33,840.37
 Interest ,3.56,5.34,7.33,18.88,16.45,18.78,28.02,50.88,54.34,71.53
 Profit before tax ,2433.38,3115.65,3297.29,2354.89,1798.39,2202.51,3799.63,5202.02,5933.07,7102.06
 Tax ,720.3,935.93,1077.04,527.45,451.5,525.91,885.69,1201.01,1198.63,1586.83
 Net profit ,1667.08,1959.67,2202.73,1827.44,1346.89,1676.6,2913.94,4001.01,4734.44,5515.23
 Dividend Amount ,272.1,299.86,341,341.25,464.61,574.14,1011.95,1396.38,1919.4,2249.26
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
 Quarters ,,,,,,,,,,
Report Date,Dec-23,Mar-24,Jun-24,Sep-24,Dec-24,Mar-25,Jun-25,Sep-25,Dec-25,Mar-26
